asset,direction,signalTs,entryTs,entry,exitTs,exit,stopLoss,takeProfit,qty,risk,pnl,rMultiple,durationH,win,exitReason,ambiguous,passCount,condsPassed,condsFailed,rsi,macd,macdSignal,trend1h,trend4h,ema20,volume,atr,balanceAfter
SILVER,LONG,2025-09-19T08:00:00+00:00,2025-09-19T09:00:00+00:00,42.49,2025-09-19T15:00:00+00:00,43.102,42.184,43.102,2.332585,0.9911,1.4276,1.44,6.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,59.51083288144402,0.09444337557108184,0.05547178392496449,BULLISH,BULLISH,42.25204675411685,1767.0,0.20400866046744523,100.5391
SILVER,LONG,2025-09-22T06:00:00+00:00,2025-09-22T07:00:00+00:00,44.045,2025-09-22T12:00:00+00:00,43.634,43.634,44.867,2.282646,1.0054,-0.9382,-0.933,5.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,81.48005568671209,0.42224395554164573,0.29631229963524547,BULLISH,BULLISH,43.07310584368155,3737.0,0.273996797260452,99.601
SILVER,LONG,2025-09-22T17:00:00+00:00,2025-09-22T18:00:00+00:00,44.33,2025-09-23T02:00:00+00:00,43.9967,43.9967,44.9965,2.246807,0.996,-0.7488,-0.752,8.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,75.76578115583872,0.3958693715040553,0.39463363545984226,BULLISH,BULLISH,43.72718815472785,4589.0,0.2221747483557548,98.8522
SILVER,LONG,2025-09-23T12:00:00+00:00,2025-09-23T13:00:00+00:00,44.71,2025-09-23T14:00:00+00:00,44.4127,44.4127,45.3045,2.210964,0.9885,-0.6572,-0.665,1.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,76.7369688908978,0.2412012087428934,0.23738467888076706,BULLISH,BULLISH,44.27918090330773,4294.0,0.19817515733072014,98.195
SILVER,LONG,2025-09-25T08:00:00+00:00,2025-09-25T09:00:00+00:00,45.09,2025-09-25T12:00:00+00:00,44.7499,44.7499,45.7702,2.177755,0.9819,-0.7406,-0.754,3.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,74.96104851737373,0.09721816094480573,0.009500120762483362,BULLISH,BULLISH,44.36367499606892,8406.0,0.2267198305659622,97.4543
SILVER,LONG,2025-09-26T12:00:00+00:00,2025-09-26T13:00:00+00:00,45.53,2025-09-26T15:00:00+00:00,46.2209,45.1846,46.2209,2.140443,0.9745,1.4787,1.517,2.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,63.9499301550461,0.1656042705348284,0.16455913414485318,BULLISH,BULLISH,45.208373991708456,6296.0,0.23028403250244645,98.9331
SILVER,LONG,2025-09-29T01:00:00+00:00,2025-09-29T02:00:00+00:00,46.61,2025-09-30T09:00:00+00:00,46.1103,46.1103,47.6094,1.979839,0.9893,-0.9893,-1.0,31.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,63.7505818370912,0.43399187050930266,0.40466523005446264,BULLISH,BULLISH,46.165171060809875,9295.0,0.3331350741971617,97.9437
SILVER,LONG,2025-10-03T16:00:00+00:00,2025-10-03T17:00:00+00:00,48.01,2025-10-07T15:00:00+00:00,47.4888,47.4888,49.0525,1.879028,0.9794,-0.9794,-1.0,94.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,66.12560745467329,0.2520555513811473,0.12896588799367623,BULLISH,BULLISH,47.425031646535565,6105.0,0.34749793717041305,96.9643
SILVER,LONG,2025-10-08T12:00:00+00:00,2025-10-08T13:00:00+00:00,48.67,2025-10-08T22:00:00+00:00,48.2308,48.2308,49.5483,1.992281,0.9696,-0.875,-0.902,9.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,62.839291739875904,0.1891037193105234,0.10780122058540562,BULLISH,BULLISH,48.32640262709175,5677.0,0.29278027617568103,96.0894
SILVER,LONG,2025-10-09T12:00:00+00:00,2025-10-09T13:00:00+00:00,49.52,2025-10-09T13:00:00+00:00,48.9743,48.9743,50.6114,1.760794,0.9609,-0.9609,-1.0,0.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,69.78219670366899,0.14144594402127098,0.060315075885714844,BULLISH,BULLISH,48.5952334510683,13527.0,0.36381066774295673,95.1285
SILVER,LONG,2025-10-13T03:00:00+00:00,2025-10-13T04:00:00+00:00,49.145,2025-10-13T23:00:00+00:00,50.9966,48.2192,50.9966,1.027535,0.9513,1.9026,2.0,19.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,65.61355297489261,0.21479058075695434,0.05152562638982175,BULLISH,BULLISH,48.17345542337882,6029.0,0.617194990032305,97.031
