asset,direction,signalTs,entryTs,entry,exitTs,exit,stopLoss,takeProfit,qty,risk,pnl,rMultiple,durationH,win,exitReason,ambiguous,passCount,condsPassed,condsFailed,rsi,macd,macdSignal,trend1h,trend4h,ema20,volume,atr,balanceAfter
SILVER,LONG,2025-09-23T12:00:00+00:00,2025-09-23T13:00:00+00:00,44.71,2025-09-23T14:00:00+00:00,44.4127,44.4127,45.3045,2.161599,0.9665,-0.6426,-0.665,1.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,76.7369688908978,0.2412012087428934,0.23738467888076706,BULLISH,BULLISH,44.27918090330773,4294.0,0.19817515733072014,96.0025
SILVER,LONG,2025-09-25T07:00:00+00:00,2025-09-25T08:00:00+00:00,44.845,2025-09-25T13:00:00+00:00,44.5391,44.5391,45.4567,2.140763,0.96,-0.6548,-0.682,5.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,70.707325113638,0.03888680433708913,-0.012429389283097232,BULLISH,NEUTRAL,44.287746144658,5731.0,0.20390749680687947,95.3477
SILVER,LONG,2025-09-26T12:00:00+00:00,2025-09-26T13:00:00+00:00,45.53,2025-09-26T15:00:00+00:00,46.2209,45.1846,46.2209,2.094174,0.9535,1.4468,1.517,2.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,63.9499301550461,0.1656042705348284,0.16455913414485318,BULLISH,BULLISH,45.208373991708456,6296.0,0.23028403250244645,96.7945
SILVER,LONG,2025-09-29T01:00:00+00:00,2025-09-29T02:00:00+00:00,46.61,2025-09-30T09:00:00+00:00,46.1103,46.1103,47.6094,1.937042,0.9679,-0.9679,-1.0,31.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,63.7505818370912,0.43399187050930266,0.40466523005446264,BULLISH,BULLISH,46.165171060809875,9295.0,0.3331350741971617,95.8265
SILVER,LONG,2025-10-01T01:00:00+00:00,2025-10-01T02:00:00+00:00,47.455,2025-10-01T06:00:00+00:00,47.0479,47.0479,48.2692,2.019314,0.9583,-0.8221,-0.858,4.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,64.66136192325578,0.0635219699160885,-0.011638465421444807,BULLISH,NEUTRAL,46.83212244986659,5331.0,0.271400888559502,95.0045
SILVER,LONG,2025-10-01T11:00:00+00:00,2025-10-01T12:00:00+00:00,47.57,2025-10-01T23:00:00+00:00,47.1518,47.1518,48.4064,1.997151,0.95,-0.8352,-0.879,11.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,60.789414715310116,0.18735282299849843,0.14826955504287082,BULLISH,NEUTRAL,47.19801535461908,2721.0,0.2788061469654323,94.1693
SILVER,LONG,2025-10-02T11:00:00+00:00,2025-10-02T12:00:00+00:00,47.57,2025-10-02T13:00:00+00:00,47.2792,47.2792,48.1517,1.979593,0.9417,-0.5757,-0.611,1.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,56.28454620196565,0.06879774541045691,0.06667117393851256,BULLISH,NEUTRAL,47.44193470696129,2621.0,0.1938894533206892,93.5935
SILVER,LONG,2025-10-03T11:00:00+00:00,2025-10-03T12:00:00+00:00,47.435,2025-10-03T15:00:00+00:00,48.2063,47.0494,48.2063,1.97309,0.9359,1.5218,1.626,3.0,True,TAKE_PROFIT,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,61.31388939406527,0.07579568015685823,-0.015331042248423625,BULLISH,NEUTRAL,47.09434517542784,4586.0,0.2570967678644008,95.1153
SILVER,LONG,2025-10-06T11:00:00+00:00,2025-10-06T12:00:00+00:00,48.23,2025-10-07T07:00:00+00:00,47.7965,47.7965,49.0969,1.97212,0.9512,-0.8548,-0.899,19.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,59.20487501513891,0.3102162543962734,0.30809022223969385,BULLISH,BULLISH,48.039381384980814,5295.0,0.2889754970370098,94.2605
SILVER,LONG,2025-10-08T05:00:00+00:00,2025-10-08T06:00:00+00:00,48.465,2025-10-08T22:00:00+00:00,48.0029,48.0029,49.3891,1.944919,0.9426,-0.8987,-0.953,16.0,False,STOP_LOSS,False,5,1h Trend|RSI|MACD Momentum|Price vs MA|Volume,4h Trend,62.16127733313292,0.02130095429649259,-0.07161790857742235,BULLISH,NEUTRAL,47.99817462207561,6640.0,0.3080392299957593,93.3618
